code_name,SMILES,HOMO-LUMO gap,HOMO,LUMO,IP,EA,Dipole module,Total charge,Global SASA,G solv. in H2O,G of H-bonds H2O,MolLogP
Anion_0001,CC(=O)[O-],5.3351,-4.2024,1.1327,3.3045,-10.4249,7.138,-1.0,192.5967,-68.9658,-2.1547,-1.2438
Anion_0002,CCCCCCCC/C=C\CCCCCCCC(=O)O,4.0571,-10.3812,-6.3242,7.6317,-1.4498,1.8413,0.0,600.8035,-9.6848,-5.243,6.108500000000006
Anion_0003,CCCCCCCCCCCCCCCC(=O)[O-],5.3131,-4.3573,0.9559,3.1335,-8.6616,37.5426,-1.0,598.9517,-70.505,-2.31,4.217600000000003
Anion_0004,CCCCCCCCCCCCCCCCCC(=O)[O-],5.2403,-4.5644,0.6759000000000001,3.2112,-8.7797,27.8235,-1.0,610.9026,-69.4885,-1.8624,4.997800000000004
Anion_0005,CCCCC/C=C\C/C=C\CCCCCCC(=O)O,4.0262,-10.3534,-6.3272,7.6388,-1.1555,1.8364,0.0,568.8514,-10.4796,-5.949,5.494400000000004
Anion_0006,O=C([O-])Cc1c[nH+]c2cccc[c-]12,1.7396,-4.6764,-2.9368,2.7114000000000003,-4.6512,13.904,-1.0,348.5588,-71.161,-2.9594,-0.3348
Anion_0007,C=CC(=O)[O-],2.8529,-4.3802,-1.5273,3.2898,-7.0772,8.357,-1.0,212.0876,-69.5281,-2.1174,-1.0777
Anion_0008,CCC=CCC=CCC=CCCCCCCCC(=O)[O-],1.1507,-4.6172,-3.4665,3.0923,-3.9687,21.7845,-0.9927,536.5914,-70.5936,-2.0532,4.325800000000003
Anion_0009,O=C([O-])Cc1cccc2ccccc12,1.7475,-5.2297,-3.4822,3.0496,-3.8363,11.319,-1.0,360.7595,-63.5311,-1.7269,1.132199999999999
Anion_0010,CCCCCCCCCCCC(=O)[O-],5.3026,-4.3526,0.95,3.1433,-9.0542,28.864,-1.0,483.9757,-70.1112,-2.1834,2.6572
Anion_0011,CCCCCCCCCCCCCC(=O)[O-],5.3287,-4.3556,0.9731,3.1292,-8.6174,35.5987,-1.0,548.8916,-70.2336,-2.3087,3.437400000000002
Anion_0012,CCCCCCCC(=O)[O-],5.266,-4.3813,0.8847,3.1533,-9.7079,15.9168,-1.0,355.856,-69.9319,-1.9618,1.0968
Anion_0013,CCCCCC(=O)[O-],5.2873,-4.3367,0.9507,3.1333,-9.9882,13.7983,-1.0,302.4146,-69.6968,-1.9907,0.3166
Anion_0014,C=C(C)C(=O)[O-],3.0524,-4.3933,-1.3409,3.1664,-7.0666,9.53,-1.0,236.798,-69.5783,-1.9883,-0.6876
Anion_0015,O=C([O-])Cc1ccccc1,2.6186,-4.937,-2.3184,3.0923,-5.4661,10.92,-1.0,305.9285,-64.4669,-1.8071,-0.021
Anion_0016,CCC(=O)[O-],5.2729,-4.2305,1.0423,3.1312,-10.2172,9.2255,-1.0,221.425,-69.0686,-2.0213,-0.8537
Anion_0017,O=C([O-])COc1ccc(Cl)cc1Cl,1.7714,-5.5814,-3.81,3.6881,-3.8366,8.2455,-1.0,369.5698,-59.4961,-2.1152,1.122099999999999
Anion_0018,O=C([O-])CS,4.5907,-5.5954,-1.0047,3.928,-6.9489,3.044,-1.0,219.4367,-56.9921,-2.0693,-1.3339
Anion_0019,CCCC(CCC)C(=O)[O-],5.1816,-4.3968,0.7848,2.9972000000000003,-9.6632,10.7138,-1.0,353.5538,-70.3531,-1.9046,0.9526999999999992
Anion_0020,CCCCC(=O)[O-],5.3004,-4.3233,0.977,3.1424,-10.0882,13.1482,-1.0,276.1643,-69.4389,-2.0139,-0.0735
Anion_0021,CC(C)C(=O)[O-],5.1988,-4.2705,0.9283,3.0058,-9.9837,9.683,-1.0,245.7272,-68.8985,-1.9395,-0.6077
Anion_0022,CC(=O)CCC(=O)[O-],1.8819,-5.0016,-3.1197,3.6755,-5.623,6.6998,-1.0,274.2401,-62.7851,-2.6149,-0.8945000000000001
Anion_0023,O=C([O-])CCS,4.3921,-5.5177,-1.1257,3.6329,-6.6332,6.128,-1.0,244.8819,-56.2917,-1.8831,-0.9438
Anion_0024,CC(C)CC(=O)[O-],5.2851,-4.3448,0.9403,3.1214,-10.0295,11.9372,-1.0,270.2078,-69.2716,-1.9626,-0.2176
Anion_0025,CCCCCCC=CCCCCCCCC(=O)[O-],1.4555,-4.5018,-3.0463,3.1272,-5.3302,23.365,-1.0,532.4054,-70.5148,-1.8729,3.993600000000002
Anion_0026,N#CCC(=O)[O-],4.2603,-5.3148,-1.0545,4.0239,-7.5715,5.885,-1.0,228.3065,-63.7777,-2.1823,-1.35002
Anion_0027,O=CC(=O)[O-],1.6056,-4.8208,-3.2152,3.7276,-5.8233,4.57,-1.0,200.0949,-61.4931,-2.1401,-2.0648
Anion_0028,O=C([O-])CCc1ccccc1,1.5879,-4.7016,-3.1137,3.2172,-4.7187,15.7505,-1.0,336.3091,-68.1489,-2.0269,0.369099999999999
Anion_0029,CC(C)(C)C(=O)[O-],5.2064,-4.3097,0.8967,2.9195,-9.8889,9.844,-1.0,263.2376,-68.5406,-1.7665000000000002,-0.2176
Anion_0030,CCCCCCCCC(=O)[O-],5.2718,-4.4857,0.7861,3.1936,-9.669,11.6897,-1.0,363.6253,-69.6734,-1.6931,1.486899999999999
Anion_0031,CCCCCCC(=O)[O-],5.2842,-4.4139,0.8703000000000001,3.1755,-9.8496,12.8591,-1.0,320.3259,-69.3578,-1.8498,0.7066999999999991
Anion_0032,O=C([O-])CCCc1c[nH+]c2cccc[c-]12,1.1736,-4.6294,-3.4558,3.0004,-4.1747,15.6581,-0.9974,388.1177,-70.5685,-2.7734,0.445399999999999
Anion_0033,CC=CC(=O)[O-],2.9388,-4.3819,-1.4431,3.166,-6.9487000000000005,11.9575,-1.0,243.5753,-71.819,-2.2486,-0.6876
Anion_0034,O=C([O-])C1CCCCC1,5.2539,-4.4022,0.8516,3.0002,-9.8264,13.0351,-1.0,294.2739,-69.3287,-1.853,0.316599999999999
Anion_0035,CCCCCCCCCCCCCCC(=O)[O-],5.2348,-4.4732,0.7616,3.1649,-8.941,25.3553,-1.0,538.0334,-70.3118,-1.9789,3.827500000000002
Anion_0036,O=C([O-])c1ccco1,2.9582,-4.9309,-1.9727,3.6648,-6.1261,11.469,-1.0,255.0874,-68.9348,-2.2193,-0.3569
Anion_0037,CN(C)CC(=O)[O-],4.8696,-4.2077,0.6619,2.6342,-9.6051,10.0136,-1.0,259.1864,-69.9839,-1.887,-1.702099999999999
Anion_0038,O=C([O-])CCCc1ccccc1,1.5368,-4.6004000000000005,-3.0635,3.2044,-4.7909,14.5675,-1.0,350.1557,-68.6233,-1.8546,0.7591999999999991
Anion_0039,CC=CC=CC(=O)[O-],1.5590000000000002,-4.6219,-3.0628,3.2175,-4.8203,17.1406,-1.0,299.1875,-73.1623,-2.3623,-0.131399999999999
