code_name,SMILES,HOMO-LUMO gap,HOMO,LUMO,IP,EA,Dipole module,Total charge,Global SASA,G solv. in H2O,G of H-bonds H2O,Fermi-level,Total polariz. alpha,Total FOD,Hardness,Softness,Electronegativity,Electrophil. idx,Nucleophilicity idx,Second IP,Second EA,S0-T1 gap,MolLogP
Anion_0001,CC(=O)[O-],5.3351,-4.2024,1.1327,3.3045,-10.4249,7.138,-1.0,192.5967,-68.9658,-2.1547,-1.5349,36.4741,0.0101,13.7294,0.0728,-3.5602,0.4616,4166.6667,11.1108,-9.5398,134.2428,-1.2438
Anion_0002,CCCCCCCC/C=C\CCCCCCCC(=O)O,4.0571,-10.3812,-6.3242,7.6317,-1.4498,1.8413,0.0,600.8035,-9.6848,-5.243,-8.3527,220.4326,0.0474,9.0814,0.1101,3.091,0.5261,1.5797,10.8525,3.343,116.2336,6.108500000000006
Anion_0003,CCCCCCCCCCCCCCCC(=O)[O-],5.3131,-4.3573,0.9559,3.1335,-8.6616,37.5426,-1.0,598.9517,-70.505,-2.31,-1.7007,199.9098,0.0103,11.7951,0.0848,-2.764,0.3239,1843.3891,7.9764,-2.6041,133.7626,4.217600000000003
Anion_0004,CCCCCCCCCCCCCCCCCC(=O)[O-],5.2403,-4.5644,0.6759000000000001,3.2112,-8.7797,27.8235,-1.0,610.9026,-69.4885,-1.8624,-1.9442,223.4246,0.0111,11.9909,0.0835,-2.7843,0.3234,1522.5735,7.7882,-3.1213,131.6716,4.997800000000004
Anion_0005,CCCCC/C=C\C/C=C\CCCCCCC(=O)O,4.0262,-10.3534,-6.3272,7.6388,-1.1555,1.8364,0.0,568.8514,-10.4796,-5.949,-8.3403,208.0161,0.0565,8.7943,0.1137,3.2416,0.5978,1.4856,11.0191,4.1694,111.1059,5.494400000000004
Anion_0006,O=C([O-])Cc1c[nH+]c2cccc[c-]12,1.7396,-4.6764,-2.9368,2.7114000000000003,-4.6512,13.904,-1.0,348.5588,-71.161,-2.9594,-3.8066,125.7454,0.3152,7.3626,0.1358,-0.9699,0.0639,48.5437,7.9252,-0.3264,66.6737,-0.3348
Anion_0007,C=CC(=O)[O-],2.8529,-4.3802,-1.5273,3.2898,-7.0772,8.357,-1.0,212.0876,-69.5281,-2.1174,-2.9537,47.3806,0.145,10.367,0.0965,-1.8937,0.173,106.383,10.4718,-4.7244,80.8077,-1.0777
Anion_0008,CCC=CCC=CCC=CCCCCCCCC(=O)[O-],1.1507,-4.6172,-3.4665,3.0923,-3.9687,21.7845,-0.9927,536.5914,-70.5936,-2.0532,-4.0418,221.1021,0.3319,7.061,0.1425,-0.4382,0.0172,20.6373,7.6458,1.0102,89.8692,4.325800000000003
Anion_0009,O=C([O-])Cc1cccc2ccccc12,1.7475,-5.2297,-3.4822,3.0496,-3.8363,11.319,-1.0,360.7595,-63.5311,-1.7269,-4.356,139.3649,0.391,6.8859,0.1452,-0.3934,0.0112,19.5197,8.0247,0.8587,56.1886,1.132199999999999
Anion_0010,CCCCCCCCCCCC(=O)[O-],5.3026,-4.3526,0.95,3.1433,-9.0542,28.864,-1.0,483.9757,-70.1112,-2.1834,-1.7013,153.2723,0.0103,12.1975,0.082,-2.9554,0.3581,,8.2762,-3.5245,133.4337,2.6572
Anion_0011,CCCCCCCCCCCCCC(=O)[O-],5.3287,-4.3556,0.9731,3.1292,-8.6174,35.5987,-1.0,548.8916,-70.2336,-2.3087,-1.6912,176.5559,0.0101,11.7466,0.0851,-2.7441,0.3206,2039.7315,8.1296,-2.6563,134.2479,3.437400000000002
Anion_0012,CCCCCCCC(=O)[O-],5.266,-4.3813,0.8847,3.1533,-9.7079,15.9168,-1.0,355.856,-69.9319,-1.9618,-1.7483,106.6595,0.0107,12.8611,0.0778,-3.2773,0.4176,17681.9217,8.8078,-5.6333,132.2875,1.0968
Anion_0013,CCCCCC(=O)[O-],5.2873,-4.3367,0.9507,3.1333,-9.9882,13.7983,-1.0,302.4146,-69.6968,-1.9907,-1.693,83.3078,0.0104,13.1215,0.0762,-3.4275,0.4476,3073.5804,9.2245,-6.8122,132.9181,0.3166
Anion_0014,C=C(C)C(=O)[O-],3.0524,-4.3933,-1.3409,3.1664,-7.0666,9.53,-1.0,236.798,-69.5783,-1.9883,-2.8671,59.057,0.1213,10.233,0.0977,-1.9501,0.1858,138.3126,9.9851,-4.3979,83.6952,-0.6876
Anion_0015,O=C([O-])Cc1ccccc1,2.6186,-4.937,-2.3184,3.0923,-5.4661,10.92,-1.0,305.9285,-64.4669,-1.8071,-3.6277,99.3474,0.1994,8.5584,0.1168,-1.1869,0.0823,47.1476,8.7709,-1.4551,82.6517,-0.021
Anion_0016,CCC(=O)[O-],5.2729,-4.2305,1.0423,3.1312,-10.2172,9.2255,-1.0,221.425,-69.0686,-2.0213,-1.5941,48.2551,0.0107,13.3484,0.0749,-3.5431,0.4702,1570.2321,10.1852,-8.7725,132.6118,-0.8537
Anion_0017,O=C([O-])COc1ccc(Cl)cc1Cl,1.7714,-5.5814,-3.81,3.6881,-3.8366,8.2455,-1.0,369.5698,-59.4961,-2.1152,-4.6956,128.1971,0.3048,7.5247,0.1329,-0.0742,0.0004,11.524,8.5338,0.4239,77.368,1.122099999999999
Anion_0018,O=C([O-])CS,4.5907,-5.5954,-1.0047,3.928,-6.9489,3.044,-1.0,219.4367,-56.9921,-2.0693,-3.3001,55.8023,0.0311,10.8769,0.0919,-1.5105,0.1049,37.2162,10.169,-3.3084,114.7046,-1.3339
Anion_0019,CCCC(CCC)C(=O)[O-],5.1816,-4.3968,0.7848,2.9972000000000003,-9.6632,10.7138,-1.0,353.5538,-70.3531,-1.9046,-1.806,106.7196,0.0116,12.6604,0.079,-3.333,0.4387,2256.6444,8.9243,-6.5396,129.9023,0.9526999999999992
Anion_0020,CCCCC(=O)[O-],5.3004,-4.3233,0.977,3.1424,-10.0882,13.1482,-1.0,276.1643,-69.4389,-2.0139,-1.6732,71.617,0.0103,13.2307,0.0756,-3.4729,0.4558,2463.9762,9.5565,-7.465,133.3704,-0.0735
Anion_0021,CC(C)C(=O)[O-],5.1988,-4.2705,0.9283,3.0058,-9.9837,9.683,-1.0,245.7272,-68.8985,-1.9395,-1.6711,59.9842,0.0113,12.9895,0.077,-3.489,0.4686,1111.1111,9.6816,-8.14,130.6153,-0.6077
Anion_0022,CC(=O)CCC(=O)[O-],1.8819,-5.0016,-3.1197,3.6755,-5.623,6.6998,-1.0,274.2401,-62.7851,-2.6149,-4.0606,72.636,0.2292,9.2985,0.1075,-0.9737,0.051,25.5108,9.7545,-2.805,88.6282,-0.8945000000000001
Anion_0023,O=C([O-])CCS,4.3921,-5.5177,-1.1257,3.6329,-6.6332,6.128,-1.0,244.8819,-56.2917,-1.8831,-3.3218,67.6144,0.0401,10.2661,0.0974,-1.5001,0.1096,45.1466,9.3955,-2.5620000000000003,109.7123,-0.9438
Anion_0024,CC(C)CC(=O)[O-],5.2851,-4.3448,0.9403,3.1214,-10.0295,11.9372,-1.0,270.2078,-69.2716,-1.9626,-1.7022,71.6054,0.0105,13.1509,0.076,-3.454,0.4536,2471.9129,9.6061,-7.8418,132.9391,-0.2176
Anion_0025,CCCCCCC=CCCCCCCCC(=O)[O-],1.4555,-4.5018,-3.0463,3.1272,-5.3302,23.365,-1.0,532.4054,-70.5148,-1.8729,-3.7741,199.2387,0.2226,8.4574,0.1185,-1.1015,0.0725,41.9793,7.8586,-1.1415,104.4119,3.993600000000002
Anion_0026,N#CCC(=O)[O-],4.2603,-5.3148,-1.0545,4.0239,-7.5715,5.885,-1.0,228.3065,-63.7777,-2.1823,-3.1847,48.9937,0.0419,11.5954,0.0862,-1.7738,0.1357,45.8085,10.9924,-5.0564,114.7016,-1.35002
Anion_0027,O=CC(=O)[O-],1.6056,-4.8208,-3.2152,3.7276,-5.8233,4.57,-1.0,200.0949,-61.4931,-2.1401,-4.018,38.1357,0.4278,9.5509,0.1047,-1.0478,0.0575,26.6028,11.1373,-4.2297,47.4203,-2.0648
