,SMILES String,PC1,PC2,PC3,PC4,PC5,Cluster
Anion_0001,CC(=O)[O-],8.553465043,-1.307804677,-3.390935335,-1.655475099,-2.1307866,11
Anion_0002,OC(CCCCCCC/C=C\CCCCCCCC)=O,-1.006877941,5.696687586,-1.755667989,0.211407597,3.147684584,19
Anion_0003,CCCCCCCCCCCCCCCC(=O)[O-],-3.041309784,11.94637964,-1.958894179,-1.318318814,5.391036335,19
Anion_0004,[O-]C(CCCCCCCCCCCCCCCCC)=O,-4.794182043,13.97377444,-2.182897759,-1.317835386,6.447629756,19
Anion_0005,OC(CCCCCC/C=C\C/C=C\CCCCC)=O,-0.455304321,4.935811008,-1.657538133,1.50053323,1.044901677,6
Anion_0006,O=C([O-])Cc1c[nH+]c2cccc[c-]12,0.791738146,1.710585699,-0.769010205,0.30321456,-0.516070839,5
Anion_0007,C=CC(=O)[O-],3.190321622,-3.387784663,-2.022911736,-1.034553959,-2.787455259,17
Anion_0008,CCC=CCC=CCC=CCCCCCCCC(=O)[O-],0.418294363,2.797059287,-1.948830468,1.74120676,1.433270993,6
Anion_0009,O=C([O-])Cc1cccc2ccccc12,0.141032955,-0.009593839,-0.556965044,1.696712055,-0.704105544,9
Anion_0010,CCCCCCCCCCCC(=O)[O-],0.229579334,7.897498689,-2.106103875,-1.503284088,3.017587697,19
Anion_0011,CCCCCCCCCCCCCC(=O)[O-],-1.457494188,9.914835605,-2.174898784,-1.432460334,4.141746432,19
Anion_0012,CCCCCCCC(=O)[O-],3.686240646,3.929152539,-2.045641119,-1.619388822,0.954801688,1
Anion_0013,CCCCCC(=O)[O-],5.359432413,1.993996352,-2.392739673,-1.810935305,-0.093751627,1
Anion_0014,C=C(C)C(=O)[O-],3.438314375,-3.190780128,-1.455255923,-0.739161554,-1.18872009,17
Anion_0015,O=C([O-])Cc1ccccc1,2.204769043,0.319823707,-0.486705143,-0.25735192,-1.334728383,20
Anion_0016,CCC(=O)[O-],7.686299084,-0.313859364,-2.595859406,-2.287596043,-1.711108019,11
Anion_0017,O=C([O-])COc1ccc(Cl)cc1Cl,0.341320271,0.231425664,-0.878049326,0.83663595,-0.490368066,9
Anion_0018,O=C([O-])CS,4.40879768,-3.276805739,-1.301107418,-2.736006832,-1.709340299,20
Anion_0019,CCCC(CCC)C(=O)[O-],8.063296379,0.162740139,0.607473265,0.596074756,2.050734117,11
Anion_0020,CCCCC(=O)[O-],6.182523542,1.154734808,-2.281815887,-2.105176359,-0.572928012,1
Anion_0021,CC(C)C(=O)[O-],6.757631767,-0.752640965,-2.967424588,-1.432993437,-0.586783272,11
Anion_0022,CC(=O)CCC(=O)[O-],3.528320945,-0.906082365,-0.949391727,0.742248166,-2.526048354,20
Anion_0023,O=C([O-])CCS,4.498566431,-0.305083856,-1.412606214,-0.684084944,-1.966606607,20
Anion_0024,CC(C)CC(=O)[O-],6.323428659,0.745150408,-1.986178696,-1.961945976,-0.878518332,1
Anion_0025,CCCCCCC=CCCCCCCCC(=O)[O-],1.144257467,3.544101839,-1.656437958,0.678020021,0.365496757,6
Anion_0026,N#CCC(=O)[O-],4.189653736,-3.99042422,-1.822344683,-0.918427888,-0.888621522,17
Anion_0027,O=CC(=O)[O-],1.112914462,-6.295742879,-0.758616938,-0.943441636,-2.714144262,17
Anion_0028,O=C([O-])CCc1ccccc1,2.754391793,0.583190646,-1.367906286,1.453472933,-1.32439658,9
Anion_0029,CC(C)(C)C(=O)[O-],7.640300723,-0.806920458,-0.79251054,-0.917073505,0.548972155,11
Anion_0030,CCCCCCCCC(=O)[O-],2.66073406,5.028196486,-2.060569344,-1.77903939,1.364925581,1
Anion_0031,CCCCCCC(=O)[O-],4.379903416,3.060212244,-2.211162767,-1.901168865,0.320827411,1
Anion_0032,O=C([O-])CCCc1c[nH+]c2cccc[c-]12,0.486910973,2.733195093,-1.019427748,0.724086719,-0.479917356,6
Anion_0033,CC=CC(=O)[O-],2.990467346,-1.951056144,-2.396141194,-0.806961303,-2.224377489,20
Anion_0034,O=C([O-])C1CCCCC1,5.746813884,0.381475953,-2.49387798,-1.208822768,1.346936284,1
Anion_0035,CCCCCCCCCCCCCCC(=O)[O-],-2.38912308,11.06283824,-2.002373996,-1.561754544,4.712996642,19
Anion_0036,O=C([O-])c1ccco1,1.572870666,-3.020209332,-2.087439611,-0.749667178,-0.71152086,17
Anion_0037,CN(C)CC(=O)[O-],7.584073917,-0.04201768,0.589057066,-2.311618424,-0.111421406,11
Anion_0038,O=C([O-])CCCc1ccccc1,1.810814068,1.308767068,-1.459620563,0.973355242,-0.600993102,9
Anion_0039,CC=CC=CC(=O)[O-],-0.034796368,-0.410538075,-1.446941017,-0.411137516,-1.960442565,2
Anion_0040,C#CC(=O)[O-],2.106480612,-6.289324262,-1.762423695,-2.007110095,-0.638978442,17
Anion_0041,O=C([O-])C(=O)c1ccccc1,-1.039003935,-3.886906932,0.621198772,0.623796545,-0.424027548,8
Anion_0042,COc1ccc(CC(=O)[O-])cc1,1.049733606,2.462120395,-0.291967543,-0.886298541,-1.372113383,5
Anion_0043,O=C([O-])c1cccs1,0.590493845,-3.398122211,-1.856068742,-0.147268725,-0.913419503,17
Anion_0044,[O-]C(CCCCC/C=C/CCCCCCC)=O,0.002290889,4.051662267,-2.249904101,0.688157046,2.798307784,6
Anion_0045,CC(C)(Oc1ccc(Cl)cc1)C(=O)[O-],1.603280083,-0.681634988,0.771804454,2.261001102,1.821980585,7
Anion_0046,C=CCCCCCCCCC(=O)[O-],-0.218919098,5.807857037,-1.50463636,0.704808214,1.272931154,6
Anion_0047,O=C([O-])COc1ccccc1,1.263210403,0.099018075,-0.493340241,-0.581564799,-1.765753329,5
Anion_0048,CCCCCCCC/C=C/CCCCCCCC(O)=O,2.11540212,2.538634178,-1.121025768,-0.379387488,0.291391765,1
Anion_0049,O=C([O-])C#Cc1ccccc1,-3.170658536,-3.164778165,-1.389385654,-0.761314049,2.139118545,15
Anion_0050,O=C([O-])C(F)(F)C(F)(F)C(F)(F)F,2.747174248,-4.268856971,-0.516159727,-1.84942568,1.515624173,17
Anion_0051,C=CCCC(=O)[O-],3.936336168,0.330652581,-1.653570419,0.182701977,-1.138979434,20
Anion_0052,O=C([O-])C12CC3CC(CC(C3)C1)C2,5.338872081,0.416807654,-0.883538098,-0.480794552,2.103974393,11
Anion_0053,O=C([O-])CCCCCCCCCCS,3.779760186,-0.517136734,0.881593656,-0.673342268,0.629278987,11
Anion_0054,CCCCCCCCCCC(=O)[O-],1.041144054,7.029791608,-1.871950126,-1.649151705,2.534008869,19
Anion_0055,O=C([O-])C1CC1,7.115499419,-1.061946738,-2.001061665,-1.72176156,-0.918786152,11
Anion_0056,O=C([O-])C(c1ccccc1)c1ccccc1,2.828250206,-1.026491069,3.058521983,1.215446611,1.450226429,7
Anion_0057,COc1ccc(C=CC(=O)[O-])cc1,-2.41572522,0.806395074,-2.307839661,0.806880652,0.972114764,10
Anion_0058,O=C([O-])c1cc2ccccc2[nH]1,-1.484258417,-2.279665545,-1.622800428,-0.462612015,0.180840546,2
Anion_0059,CC(C)=CC(=O)[O-],3.354234281,-1.646200703,-1.705207998,-1.079768127,-1.211676114,20
Anion_0060,O=C([O-])Cc1ccc(Cl)cc1,0.871535352,0.911597565,-0.230622546,-0.783025916,-1.500229133,5
Anion_0061,C#CCCC(=O)[O-],4.357210949,0.414528612,-1.761487324,-1.071788723,-0.98204267,20
