Coupling,Acid,Amine,rate,ln rate,e gas_acid_boltz,g gas_acid_boltz,E THF_acid_boltz,G THF_acid_boltz,dipole_acid_boltz,E (HOMO)_acid_boltz,E (LUMO)_acid_boltz,mu_acid_boltz,eta LUMO-HOMO_acid_boltz,omega_acid_boltz,Polarizability (1)_acid_boltz,NBO-C1 C=O_acid_boltz,NBO-O2 C=O_acid_boltz,NBO-O3 O-H,NBO-C4_acid_boltz,NBO-H5 O-H_acid_boltz,NMR-C1 C=O_acid_boltz,NMR-C4_acid_boltz,NMR-H5 O-H_acid_boltz,angle-O2-C1-C4_acid_boltz,Sterimol-L-C1-C4_acid_boltz,Sterimol-B1-C1-C4_acid_boltz,Sterimol-B5-C1-C4_acid_boltz,IR-freq-C=O_acid_boltz,IR-freq-O-H_acid_boltz,Vbur-2.5A_acid_boltz,Vbur-3.0A_acid_boltz,Vbur-2.0A_acid_boltz,e gas_anion_boltz,g gas_anion_boltz,E THF_anion_boltz,G THF_anion_boltz,dipole_anion_boltz,E (HOMO)_anion_boltz,E (LUMO)_anion_boltz,mu_anion_boltz,eta_anion_boltz,omega_anion_boltz,Polarizability (1)_anion_boltz,NBO-C1 C=O_anion_boltz,NBO-C4_anion_boltz,delta_NBO-O2-O3_anion_boltz,ave_NBO-O2-O3_anion_boltz,NMR-C1 C=O_anion_boltz,NMR-C4_anion_boltz,Sterimol-L-C1-C4_anion_boltz,Sterimol-B1-C1-C4_anion_boltz,Sterimol-B5-C1-C4_anion_boltz,IR-freq-CO2_asym-stretch_anion_boltz,IR-freq-CO2_sym-stretch_anion_boltz,Vbur-2.5A_anion_boltz,Vbur-3.0A_anion_boltz,Vbur-2.0A_anion_boltz,e gas_interm_boltz,g gas_interm_boltz,E THF_interm_boltz,G THF_interm_boltz,dipole_interm_boltz,E (HOMO)_interm_boltz,E (LUMO)_interm_boltz,mu_interm_boltz,eta_interm_boltz,omega_interm_boltz,Polarizability (1)_interm_boltz,NBO-C1_interm_boltz,NBO-O2_interm_boltz,NBO-N3_interm_boltz,NBO-C4_interm_boltz,NMR-C1_interm_boltz,NMR-C4_interm_boltz,angle-N3-C1-O2_interm_boltz,angle-N3-C1-C4_interm_boltz,dihedral-C5-N3-C1-O2_interm_boltz,dihedral-C6-N3-C1-O2_interm_boltz,dihedral-C4-C1-N3-C5_interm_boltz,dihedral-C4-C1-N3-C6_interm_boltz,Sterimol-L-C1-C4_interm_boltz,Sterimol-B1-C1-C4_interm_boltz,Sterimol-B5-C1-C4_interm_boltz,IR-freq-C=O_interm_boltz,Vbur-2.5A_interm_boltz,Vbur-3.0A_interm_boltz,Vbur-2.0A_interm_boltz,e gas_amine_boltz,g gas_amine_boltz,E THF_amine_boltz,G THF_amine_boltz,dipole_amine_boltz,E (HOMO)_amine_boltz,E (LUMO)_amine_boltz,mu_amine_boltz,eta_amine_boltz,omega_amine_boltz,Polarizability (1)_amine_boltz,NBO-N1_amine_boltz,NBO-C4_amine_boltz,delta_NBO-H2-H3_amine_boltz,ave_NBO-H2-H3_amine_boltz,NMR-C4_amine_boltz,delta_NMR-H2-H3_amine_boltz,ave_NMR-H2-H3_amine_boltz,pyramidalization N1 (1st)_anion,lone-pair-N1_anion,angle-H2-N1-H3_amine_boltz,delta_angle-C4-N1-H2_C4-N1-H3_amine_boltz,ave_angle-C4-N1-H2_C4-N1-H3_amine_boltz,Sterimol-L-N1-C4_amine_boltz,Sterimol-B1-N1-C4_amine_boltz,Sterimol-B5-N1-C4_amine_boltz,IR-freq-N-H_sym-stretch _amine_boltz,IR-freq-N-H_asym-stretch_amine_boltz,IR-freq-N-H_bend_amine_boltz,Vbur-2.5A_amine_boltz,Vbur-3.0A_amine_boltz,Vbur-2.0A_amine_boltz
Ac13-N16,Ac13,N16,0.0148,-4.216512196,-591.919027,-591.7837763,-591.6566687,-591.521418,5.705293965,-0.268331528,-0.01073403,-0.139534755,0.257597498,0.037793305,133.7278316,0.817919852,-0.652141566,-0.720023282,-0.292119491,0.496860811,6.147780343,67.3632041,25.60195513,125.735855,6.879732613,1.898141762,5.502734336,1769.809612,3775.546372,68.96622572,51.16763345,88.04479203,-591.358542,-591.239799,-591.1669417,-591.0481987,16.3881,-0.23379,0.01234,-0.11073,0.24613,0.02491,143.923,0.83572,-0.25459,0.00399,-0.830395,2.7832,48.0434,6.97947159,1.87856502,5.514406685,1652.3464,1328.3931,67.03812709,48.89308219,87.29720039,-741.7427347,-741.5656052,-741.4195447,-741.2424152,9.463495799,-0.272169196,-0.025653893,-0.148915594,0.246515303,0.044979867,179.6323637,0.735129128,-0.597373813,-0.487406374,-0.263886138,7.792607218,62.97443003,118.9810016,117.0504988,36.5329386,138.6007119,142.579629,42.28662542,6.850223813,2.119193209,5.565468376,1739.45434,73.5736519,60.25176425,89.32883455,-252.002541,-251.87542,-251.8591249,-251.7320039,1.7994,-0.29959,0.00315,-0.14822,0.30274,0.03628,67.0197,-0.89476,-0.03734,0.00649,0.364205,128.1818,0.4869,31.20905,0.7671,-0.37405,106.873,0.364,110.861,4.26616995,1.925297439,4.16982193,3491.6191,3569.2888,1659.8304,52.31628355,42.28046133,72.26857489
Ac9-N9,Ac9,N9,0.0184,-3.998125704,-536.2810592,-536.2196514,-536.0691891,-536.0077813,4.529849637,-0.332414676,-0.04296613,-0.187693096,0.289448546,0.060853839,81.52444275,0.823636389,-0.612470528,-0.700906219,-0.26817025,0.504580367,7.722230447,58.36658316,24.91051157,124.5753903,6.400994039,1.700018409,3.827836572,1792.963547,3765.823556,69.7382813,51.80877588,88.22320557,-535.739503,-535.692407,-535.5927724,-535.5456764,10.87605,-0.27047,0.01312,-0.12867,0.28359,0.02919,92.11615,0.78197,-0.20411,0.011225,-0.7870925,3.786900011,31.74120001,6.484865635,2.190861063,3.828453514,1688.326,1341.65015,68.29889638,49.88092922,88.06239393,-686.1061512,-686.0026083,-685.8321532,-685.7286102,6.175577816,-0.307328294,-0.047172677,-0.17725,0.260155618,0.060382624,124.654323,0.747173857,-0.560920052,-0.491334145,-0.244959659,5.754512713,50.70556634,121.1257664,117.2859474,79.83113471,94.51780053,100.4102057,85.24085909,6.403473395,2.110347884,5.288207783,1763.976767,74.8538479,61.36629608,89.96684398,-597.4978745,-597.2836227,-597.1912765,-596.9770248,1.576678258,-0.291817721,-0.000200629,-0.146007656,0.291617093,0.036552197,167.2614933,-0.886175931,-0.030119698,0.00340973,0.373742562,123.595058,0.237643995,30.71852278,0.765657865,-0.381634876,107.6097319,0.205972346,110.587706,7.000787901,2.112935897,6.679199069,3498.188418,3578.940931,1655.721904,55.52883343,45.99054086,74.1524994
Ac17-N14,Ac17,N14,0.0217,-3.830443018,-537.716215,-537.5760145,-537.4726843,-537.3324838,1.9899,-0.30174,0.00023,-0.15076,0.30197,0.03763,118.38,0.85351,-0.65286,-0.6991,-0.21132,0.49875,-8.229749853,153.6079501,25.5562,124.9,5.190093172,2.777430178,5.861971041,1783.577553,3761.230497,72.41041261,56.47998664,89.16148079,-537.162528,-537.0365465,-536.9856291,-536.8596476,11.75905005,-0.251335005,0.01523,-0.118055005,0.266565005,0.02614,133.093,0.81354,-0.21184,0.019095005,-0.812862497,-2.423600915,150.0558998,5.377127912,2.681218835,5.921455134,1677.798149,1315.538251,70.66248434,54.28807358,88.25029965,-687.5414084,-687.3596211,-687.2349851,-687.0531977,4.81382688,-0.29621688,-0.018845263,-0.157530586,0.277371618,0.044734291,159.4515528,0.778204756,-0.583761304,-0.496816416,-0.205665263,-4.17628519,150.1475094,119.4795486,116.6616862,80.44260529,95.50156735,99.75258174,84.30351993,5.832826569,2.552301794,5.924612179,1766.764619,78.70237939,66.92159156,91.29202679,-1123.812298,-1123.711957,-1123.514945,-1123.414604,3.000443063,-0.315348037,-0.014427252,-0.164885802,0.300920785,0.045174867,115.4197601,-0.880660402,-0.205574554,0.007945119,0.371841605,139.1816815,0.18806778,30.68944455,0.770797394,-0.389063123,107.298945,0.141904435,110.4648303,5.972255358,1.925841458,7.204349037,3500.333536,3580.397126,1661.291581,50.21385295,39.70241674,71.07794434
Ac5-N6,Ac5,N6,0.0271,-3.610068274,-538.9593523,-538.797585,-538.7004955,-538.5387282,1.954112974,-0.302946752,-0.000924574,-0.151939593,0.302022178,0.038214612,120.944785,0.860313134,-0.629122879,-0.713887216,-0.176588163,0.496901685,-9.525044568,135.3716749,25.64860086,125.7673968,5.051565998,2.868315551,6.286349575,1799.024299,3762.778162,76.49322562,61.22622853,91.13615216,-538.407623,-538.259739,-538.2125308,-538.0646468,10.8818,-0.2425,0.01464,-0.11393,0.25714,0.02524,135.892,0.81847,-0.19156,0.01649,-0.815185,-6.3591,132.9177,5.03578612,2.862243998,6.288561328,1681.0907,1317.7671,73.52810208,58.04291487,89.5751324,-688.7866043,-688.5819618,-688.4646916,-688.260049,4.96456,-0.299950722,-0.017058317,-0.158504519,0.282892406,0.044408317,161.4228386,0.784249,-0.581827709,-0.505195918,-0.17179588,-9.468998088,130.2023871,118.8585127,118.157412,62.39092215,118.3279946,116.6343363,62.64741713,5.599495372,2.868933388,6.171241285,1773.928111,81.09321915,70.19943717,92.32641761,-480.7253645,-480.5675397,-480.4825554,-480.3247306,1.751256887,-0.267075286,-0.019887314,-0.14348195,0.247187972,0.041645584,139.2578667,-0.880405794,-0.210143,0.003515597,0.368050958,139.405671,0.580331644,30.64385272,0.777734725,-0.429213807,106.807428,0.631341866,110.3313565,5.655189822,1.796887292,7.079468286,3498.705843,3576.484395,1663.59863,50.68469736,39.58448318,71.60193211
Ac13-N1,Ac13,N1,0.0324,-3.429596856,-591.919027,-591.7837763,-591.6566687,-591.521418,5.705293965,-0.268331528,-0.01073403,-0.139534755,0.257597498,0.037793305,133.7278316,0.817919852,-0.652141566,-0.720023282,-0.292119491,0.496860811,6.147780343,67.3632041,25.60195513,125.735855,6.879732613,1.898141762,5.502734336,1769.809612,3775.546372,68.96622572,51.16763345,88.04479203,-591.358542,-591.239799,-591.1669417,-591.0481987,16.3881,-0.23379,0.01234,-0.11073,0.24613,0.02491,143.923,0.83572,-0.25459,0.00399,-0.830395,2.7832,48.0434,6.97947159,1.87856502,5.514406685,1652.3464,1328.3931,67.03812709,48.89308219,87.29720039,-741.7427347,-741.5656052,-741.4195447,-741.2424152,9.463495799,-0.272169196,-0.025653893,-0.148915594,0.246515303,0.044979867,179.6323637,0.735129128,-0.597373813,-0.487406374,-0.263886138,7.792607218,62.97443003,118.9810016,117.0504988,36.5329386,138.6007119,142.579629,42.28662542,6.850223813,2.119193209,5.565468376,1739.45434,73.5736519,60.25176425,89.32883455,-249.7863209,-249.6905873,-249.6558683,-249.5601347,2.761552784,-0.305387497,0.003743175,-0.15082188,0.309130673,0.036789136,53.33706846,-0.888751717,-0.214328715,0.004952024,0.366667707,142.8394263,0.924501992,31.06307523,0.77296372,-0.377147377,107.1599269,1.057462993,110.4190353,4.683213568,1.741608587,5.249352941,3499.003928,3577.986452,1666.330071,48.78490114,36.91126179,70.76487376
Ac17-N5,Ac17,N5,0.0335,-3.39620984,-537.716215,-537.5760145,-537.4726843,-537.3324838,1.9899,-0.30174,0.00023,-0.15076,0.30197,0.03763,118.38,0.85351,-0.65286,-0.6991,-0.21132,0.49875,-8.229749853,153.6079501,25.5562,124.9,5.190093172,2.777430178,5.861971041,1783.577553,3761.230497,72.41041261,56.47998664,89.16148079,-537.162528,-537.0365465,-536.9856291,-536.8596476,11.75905005,-0.251335005,0.01523,-0.118055005,0.266565005,0.02614,133.093,0.81354,-0.21184,0.019095005,-0.812862497,-2.423600915,150.0558998,5.377127912,2.681218835,5.921455134,1677.798149,1315.538251,70.66248434,54.28807358,88.25029965,-687.5414084,-687.3596211,-687.2349851,-687.0531977,4.81382688,-0.29621688,-0.018845263,-0.157530586,0.277371618,0.044734291,159.4515528,0.778204756,-0.583761304,-0.496816416,-0.205665263,-4.17628519,150.1475094,119.4795486,116.6616862,80.44260529,95.50156735,99.75258174,84.30351993,5.832826569,2.552301794,5.924612179,1766.764619,78.70237939,66.92159156,91.29202679,-327.2438279,-327.1110494,-327.0784491,-326.9456706,3.154506065,-0.303211678,0.004046822,-0.149587076,0.3072585,0.036414495,72.12185245,-0.894177187,-0.031010088,0.000541754,0.371181863,137.6715286,0.076268214,31.01199717,0.763945648,-0.379521291,107.2156704,0.070519566,110.8645487,5.181908143,1.985045364,3.766389547,3492.095304,3570.955763,1657.058875,51.93375369,41.36314114,72.3327578
Ac7-N14,Ac7,N14,0.0341,-3.379925246,-424.6117074,-424.4607895,-424.4031535,-424.2522356,2.231660821,-0.343702965,0.00161458,-0.171044192,0.345317544,0.042359566,86.74366024,0.851737102,-0.636986027,-0.71841604,-0.325141828,0.495859675,-9.681846193,140.5338125,25.64473986,126.2126393,6.100319366,2.065922549,3.791581577,1805.398603,3758.077343,71.97942695,54.75765954,89.33278031,-424.0515855,-423.9151524,-423.9120628,-423.7756298,12.05186982,-0.245512812,0.017883372,-0.113812533,0.263396183,0.024589544,98.74440349,0.79893466,-0.319188488,0.009084511,-0.831843269,-9.345327756,133.5604667,6.132564848,2.177375369,3.837759415,1651.370616,1341.150569,70.06966,52.59842407,88.51134675,-574.4385845,-574.2453475,-574.1689919,-573.9757549,4.840002543,-0.302224725,-0.014112811,-0.158166545,0.288111914,0.043415256,128.8155455,0.778661249,-0.587888083,-0.496133398,-0.321257541,-8.246672193,139.269095,119.4587038,116.316477,84.63041819,96.17501261,95.25353358,83.94150076,6.226784789,2.345970957,5.323864527,1785.707933,76.32636676,63.56596301,90.32890267,-1123.812298,-1123.711957,-1123.514945,-1123.414604,3.000443063,-0.315348037,-0.014427252,-0.164885802,0.300920785,0.045174867,115.4197601,-0.880660402,-0.205574554,0.007945119,0.371841605,139.1816815,0.18806778,30.68944455,0.770797394,-0.389063123,107.298945,0.141904435,110.4648303,5.972255358,1.925841458,7.204349037,3500.333536,3580.397126,1661.291581,50.21385295,39.70241674,71.07794434
Ac6-N15,Ac6,N15,0.0634,-2.758291418,-613.199362,-613.0434375,-612.9261955,-612.770271,1.657361471,-0.350960047,-0.001236524,-0.176099078,0.349723522,0.044337842,104.8611908,0.860301243,-0.618564349,-0.711050563,-0.265230207,0.501492626,-3.601109542,130.9192186,25.50427675,125.950852,5.084955881,2.766517333,6.500451228,1814.324445,3761.894948,74.82025817,58.7779971,90.40493836,-612.6521905,-612.510377,-612.4435471,-612.3017336,9.881886201,-0.256098948,0.014671512,-0.120714489,0.270770461,0.026910717,116.4070517,0.826300002,-0.271382324,0.001700661,-0.807731488,-3.304039786,125.8254672,4.799185048,2.816195799,6.582122532,1687.010329,1336.126927,72.11886462,56.20676467,88.91026904,-763.0286471,-762.8303703,-762.6925755,-762.4942986,3.874470033,-0.305633689,-0.021080654,-0.16335788,0.284553035,0.046892213,145.5484713,0.784309031,-0.570459184,-0.498497571,-0.26445734,-0.942353485,128.2754372,120.2439177,115.5651161,57.33320344,124.1191477,123.4584993,55.08945032,5.11889803,3.059783997,6.545439121,1773.605116,79.28805331,67.76442355,91.55124977,-441.5956173,-441.4519545,-441.3774133,-441.2337504,3.155287688,-0.276232352,0.000329008,-0.137955593,0.27656136,0.034406646,107.9344028,-0.879818631,-0.207507832,0.006191759,0.367261984,140.9683193,1.115231053,30.64536802,0.785059712,-0.380413098,107.046272,0.658605291,109.8281279,5.56217072,1.746078034,6.007450925,3498.603283,3578.306538,1662.699373,50.23412992,38.85102459,71.40789643
Ac5-N2,Ac5,N2,0.0766,-2.569158202,-538.9593523,-538.797585,-538.7004955,-538.5387282,1.954112974,-0.302946752,-0.000924574,-0.151939593,0.302022178,0.038214612,120.944785,0.860313134,-0.629122879,-0.713887216,-0.176588163,0.496901685,-9.525044568,135.3716749,25.64860086,125.7673968,5.051565998,2.868315551,6.286349575,1799.024299,3762.778162,76.49322562,61.22622853,91.13615216,-538.407623,-538.259739,-538.2125308,-538.0646468,10.8818,-0.2425,0.01464,-0.11393,0.25714,0.02524,135.892,0.81847,-0.19156,0.01649,-0.815185,-6.3591,132.9177,5.03578612,2.862243998,6.288561328,1681.0907,1317.7671,73.52810208,58.04291487,89.5751324,-688.7866043,-688.5819618,-688.4646916,-688.260049,4.96456,-0.299950722,-0.017058317,-0.158504519,0.282892406,0.044408317,161.4228386,0.784249,-0.581827709,-0.505195918,-0.17179588,-9.468998088,130.2023871,118.8585127,118.157412,62.39092215,118.3279946,116.6343363,62.64741713,5.599495372,2.868933388,6.171241285,1773.928111,81.09321915,70.19943717,92.32641761,-330.67035,-330.4875166,-330.4775742,-330.2947409,1.912229795,-0.297180357,0.004167743,-0.146509679,0.301348101,0.035613304,91.31693309,-0.889124441,-0.184426268,0.000645078,0.36376153,134.8748925,0.664689913,31.25276968,0.754605614,-0.369754559,107.3487459,0.320017797,111.2664171,6.079421498,1.7,5.885025777,3503.287596,3584.246493,1664.033771,49.7363822,38.43971574,70.86684401
Ac6-N4,Ac6,N4,0.1145,-2.167180456,-613.199362,-613.0434375,-612.9261955,-612.770271,1.657361471,-0.350960047,-0.001236524,-0.176099078,0.349723522,0.044337842,104.8611908,0.860301243,-0.618564349,-0.711050563,-0.265230207,0.501492626,-3.601109542,130.9192186,25.50427675,125.950852,5.084955881,2.766517333,6.500451228,1814.324445,3761.894948,74.82025817,58.7779971,90.40493836,-612.6521905,-612.510377,-612.4435471,-612.3017336,9.881886201,-0.256098948,0.014671512,-0.120714489,0.270770461,0.026910717,116.4070517,0.826300002,-0.271382324,0.001700661,-0.807731488,-3.304039786,125.8254672,4.799185048,2.816195799,6.582122532,1687.010329,1336.126927,72.11886462,56.20676467,88.91026904,-763.0286471,-762.8303703,-762.6925755,-762.4942986,3.874470033,-0.305633689,-0.021080654,-0.16335788,0.284553035,0.046892213,145.5484713,0.784309031,-0.570459184,-0.498497571,-0.26445734,-0.942353485,128.2754372,120.2439177,115.5651161,57.33320344,124.1191477,123.4584993,55.08945032,5.11889803,3.059783997,6.545439121,1773.605116,79.28805331,67.76442355,91.55124977,-558.1688138,-557.9815674,-557.8856396,-557.6983932,1.726050134,-0.275623811,-0.009802043,-0.142710327,0.265821769,0.038309135,167.6758089,-0.879356174,-0.206638797,0.00326582,0.367590329,137.0363302,0.204591059,30.81418157,0.773656066,-0.379957677,107.0437428,0.144384138,110.429966,7.128639,1.808569748,10.06648907,3494.911965,3574.722155,1659.054626,49.23050822,37.56639443,71.07312913
