E (HOMO)_acid_boltz,E (HOMO)_anion_boltz,E (HOMO)_interm_boltz,E (LUMO)_amine_boltz,E (LUMO)_anion_boltz,G THF_anion_boltz,IR-freq-C=O_acid_boltz,IR-freq-C=O_interm_boltz,IR-freq-CO2_asym-stretch_anion_boltz,IR-freq-CO2_sym-stretch_anion_boltz,IR-freq-N-H_bend_amine_boltz,IR-freq-N-H_sym-stretch _amine_boltz,IR-freq-O-H_acid_boltz,NBO-C1 C=O_acid_boltz,NBO-C1 C=O_anion_boltz,NBO-C4_acid_boltz,NBO-H5 O-H_acid_boltz,NBO-N1_amine_boltz,NBO-N3_interm_boltz,NBO-O2 C=O_acid_boltz,NBO-O2_interm_boltz,NBO-O3 O-H,NMR-C1 C=O_anion_boltz,NMR-C4_amine_boltz,Polarizability (1)_amine_boltz,Polarizability (1)_anion_boltz,Sterimol-B1-N1-C4_amine_boltz,Sterimol-B5-C1-C4_acid_boltz,Sterimol-B5-N1-C4_amine_boltz,Sterimol-L-C1-C4_interm_boltz,Sterimol-L-N1-C4_amine_boltz,Vbur-2.0A_anion_boltz,Vbur-3.0A_acid_boltz,Vbur-3.0A_amine_boltz,angle-H2-N1-H3_amine_boltz,angle-N3-C1-C4_interm_boltz,angle-N3-C1-O2_interm_boltz,angle-O2-C1-C4_acid_boltz,ave_NBO-H2-H3_amine_boltz,ave_NBO-O2-O3_anion_boltz,ave_NMR-H2-H3_amine_boltz,ave_angle-C4-N1-H2_C4-N1-H3_amine_boltz,delta_NBO-H2-H3_amine_boltz,delta_NBO-O2-O3_anion_boltz,delta_NMR-H2-H3_amine_boltz,delta_angle-C4-N1-H2_C4-N1-H3_amine_boltz,dihedral-C4-C1-N3-C5_interm_boltz,dipole_acid_boltz,dipole_amine_boltz,dipole_anion_boltz,dipole_interm_boltz,eta LUMO-HOMO_acid_boltz,eta_anion_boltz,g gas_amine_boltz,mu_acid_boltz,mu_amine_boltz,mu_interm_boltz,omega_amine_boltz,Coupling,Acid,Amine,rate,ln rate
-0.248457854,-0.22086,-0.25001933,0.003864246,-0.03993,-1051.831823,1766.787848,1728.941424,1665.4607,1331.7629,1665.528852,3485.958535,3769.90516,0.821945235,0.84923,-0.292976694,0.497605367,-0.890103871,-0.492730025,-0.648270285,-0.584279653,-0.716189583,3.1148,145.5504708,94.58359172,277.672,1.744036664,6.582098382,6.17367462,12.07134627,5.293423176,87.34197071,53.81666133,37.79720358,106.6301247,116.5107047,119.4772308,125.5979319,0.364815746,-0.825065,31.03039173,109.6934307,0.00677842,0.00281,1.267552223,1.582027248,105.7709158,2.940178026,2.443086594,22.0887,6.181888836,0.190912221,0.18093,-347.7138435,-0.152999327,-0.132148611,-0.155616973,0.03209947,Sunitinib,Sunitinib-acid,Sunitinib-amine,0.0034,-5.698794933
-0.268331528,-0.23379,-0.272169196,0.00315,0.01234,-591.0481987,1769.809612,1739.45434,1652.3464,1328.3931,1659.8304,3491.6191,3775.546372,0.817919852,0.83572,-0.292119491,0.496860811,-0.89476,-0.487406374,-0.652141566,-0.597373813,-0.720023282,2.7832,128.1818,67.0197,143.923,1.925297439,5.502734336,4.16982193,6.850223813,4.26616995,87.29720039,51.16763345,42.28046133,106.873,117.0504988,118.9810016,125.735855,0.364205,-0.830395,31.20905,110.861,0.00649,0.00399,0.4869,0.364,142.579629,5.705293965,1.7994,16.3881,9.463495799,0.257597498,0.24613,-251.87542,-0.139534755,-0.14822,-0.148915594,0.03628,Ac13-N16,Ac13,N16,0.0148,-4.216512196
-0.303450901,-0.25734,-0.301063018,-0.001189515,-0.0072,-988.2351845,1788.337783,1769.927622,1666.40805,1369.9,1663.680387,3494.187686,3763.201006,0.827317312,0.77847,-0.165789078,0.501625528,-0.873984657,-0.52144409,-0.618574951,-0.573250362,-0.704849313,-5.0625,147.8196771,118.8616485,187.191,1.751976453,8.882703013,6.731152096,6.443985964,5.640778501,90.37310924,55.91129012,37.82320897,106.8014111,116.0985597,120.636748,125.0045313,0.367438582,-0.79133,30.86877159,110.2659787,0.001473744,0.0245,0.260307797,0.414660572,77.83016273,5.152928393,1.587397147,12.4689,6.985081572,0.27077029,0.25014,-781.6946264,-0.168065756,-0.140837225,-0.170092745,0.035514199,AcE-NE,AcE,NE,0.0165,-4.107429802
-0.332414676,-0.27047,-0.307328294,-0.000200629,0.01312,-535.5456764,1792.963547,1763.976767,1688.326,1341.65015,1655.721904,3498.188418,3765.823556,0.823636389,0.78197,-0.26817025,0.504580367,-0.886175931,-0.491334145,-0.612470528,-0.560920052,-0.700906219,3.786900011,123.595058,167.2614933,92.11615,2.112935897,3.827836572,6.679199069,6.403473395,7.000787901,88.06239393,51.80877588,45.99054086,107.6097319,117.2859474,121.1257664,124.5753903,0.373742562,-0.7870925,30.71852278,110.587706,0.00340973,0.011225,0.237643995,0.205972346,100.4102057,4.529849637,1.576678258,10.87605,6.175577816,0.289448546,0.28359,-597.2836227,-0.187693096,-0.146007656,-0.17725,0.036552197,Ac9-N9,Ac9,N9,0.0184,-3.998125704
-0.30174,-0.251335005,-0.29621688,-0.014427252,0.01523,-536.8596476,1783.577553,1766.764619,1677.798149,1315.538251,1661.291581,3500.333536,3761.230497,0.85351,0.81354,-0.21132,0.49875,-0.880660402,-0.496816416,-0.65286,-0.583761304,-0.6991,-2.423600915,139.1816815,115.4197601,133.093,1.925841458,5.861971041,7.204349037,5.832826569,5.972255358,88.25029965,56.47998664,39.70241674,107.298945,116.6616862,119.4795486,124.9,0.371841605,-0.812862497,30.68944455,110.4648303,0.007945119,0.019095005,0.18806778,0.141904435,99.75258174,1.9899,3.000443063,11.75905005,4.81382688,0.30197,0.266565005,-1123.711957,-0.15076,-0.164885802,-0.157530586,0.045174867,Ac17-N14,Ac17,N14,0.0217,-3.830443018
-0.302946752,-0.2425,-0.299950722,-0.019887314,0.01464,-538.0646468,1799.024299,1773.928111,1681.0907,1317.7671,1663.59863,3498.705843,3762.778162,0.860313134,0.81847,-0.176588163,0.496901685,-0.880405794,-0.505195918,-0.629122879,-0.581827709,-0.713887216,-6.3591,139.405671,139.2578667,135.892,1.796887292,6.286349575,7.079468286,5.599495372,5.655189822,89.5751324,61.22622853,39.58448318,106.807428,118.157412,118.8585127,125.7673968,0.368050958,-0.815185,30.64385272,110.3313565,0.003515597,0.01649,0.580331644,0.631341866,116.6343363,1.954112974,1.751256887,10.8818,4.96456,0.302022178,0.25714,-480.5675397,-0.151939593,-0.14348195,-0.158504519,0.041645584,Ac5-N6,Ac5,N6,0.0271,-3.610068274
-0.298710926,-0.259164463,-0.299816422,0.002182987,0.010930867,-744.8424183,1812.823631,1789.539988,1672.939562,1341.988129,1654.089373,3496.708611,3757.136448,0.847452957,0.797451034,-0.332275388,0.500072069,-0.880964713,-0.497212542,-0.625785401,-0.578917079,-0.712142693,-5.929906582,120.3081981,122.7525043,162.1625669,2.133757334,7.666365134,6.051049666,6.904263969,5.569703527,88.37196693,54.55485657,44.15847136,107.5541197,115.6789434,120.1331685,126.0539926,0.370535276,-0.819987239,30.53926132,110.5614464,0.003648755,0.011017378,0.540930215,0.521390016,89.50013233,4.731869064,1.594171024,15.72884557,4.795486761,0.295931658,0.27009533,-443.6015419,-0.150744221,-0.145627481,-0.160288019,0.035871301,AcD-ND,AcD,ND,0.0272,-3.604538306
-0.268331528,-0.23379,-0.272169196,0.003743175,0.01234,-591.0481987,1769.809612,1739.45434,1652.3464,1328.3931,1666.330071,3499.003928,3775.546372,0.817919852,0.83572,-0.292119491,0.496860811,-0.888751717,-0.487406374,-0.652141566,-0.597373813,-0.720023282,2.7832,142.8394263,53.33706846,143.923,1.741608587,5.502734336,5.249352941,6.850223813,4.683213568,87.29720039,51.16763345,36.91126179,107.1599269,117.0504988,118.9810016,125.735855,0.366667707,-0.830395,31.06307523,110.4190353,0.004952024,0.00399,0.924501992,1.057462993,142.579629,5.705293965,2.761552784,16.3881,9.463495799,0.257597498,0.24613,-249.6905873,-0.139534755,-0.15082188,-0.148915594,0.036789136,Ac13-N1,Ac13,N1,0.0324,-3.429596856
-0.30174,-0.251335005,-0.29621688,0.004046822,0.01523,-536.8596476,1783.577553,1766.764619,1677.798149,1315.538251,1657.058875,3492.095304,3761.230497,0.85351,0.81354,-0.21132,0.49875,-0.894177187,-0.496816416,-0.65286,-0.583761304,-0.6991,-2.423600915,137.6715286,72.12185245,133.093,1.985045364,5.861971041,3.766389547,5.832826569,5.181908143,88.25029965,56.47998664,41.36314114,107.2156704,116.6616862,119.4795486,124.9,0.371181863,-0.812862497,31.01199717,110.8645487,0.000541754,0.019095005,0.076268214,0.070519566,99.75258174,1.9899,3.154506065,11.75905005,4.81382688,0.30197,0.266565005,-327.1110494,-0.15076,-0.149587076,-0.157530586,0.036414495,Ac17-N5,Ac17,N5,0.0335,-3.39620984
-0.343702965,-0.245512812,-0.302224725,-0.014427252,0.017883372,-423.7756298,1805.398603,1785.707933,1651.370616,1341.150569,1661.291581,3500.333536,3758.077343,0.851737102,0.79893466,-0.325141828,0.495859675,-0.880660402,-0.496133398,-0.636986027,-0.587888083,-0.71841604,-9.345327756,139.1816815,115.4197601,98.74440349,1.925841458,3.791581577,7.204349037,6.226784789,5.972255358,88.51134675,54.75765954,39.70241674,107.298945,116.316477,119.4587038,126.2126393,0.371841605,-0.831843269,30.68944455,110.4648303,0.007945119,0.009084511,0.18806778,0.141904435,95.25353358,2.231660821,3.000443063,12.05186982,4.840002543,0.345317544,0.263396183,-1123.711957,-0.171044192,-0.164885802,-0.158166545,0.045174867,Ac7-N14,Ac7,N14,0.0341,-3.379925246
