E (HOMO)_anion_boltz,eta_anion_boltz,Acid,Amine,Coupling,rate,ln rate
-0.22086,0.18093,Sunitinib-acid,Sunitinib-amine,Sunitinib,0.0034,-5.698794933
-0.23379,0.24613,Ac13,N16,Ac13-N16,0.0148,-4.216512196
-0.25734,0.25014,AcE,NE,AcE-NE,0.0165,-4.107429802
-0.27047,0.28359,Ac9,N9,Ac9-N9,0.0184,-3.998125704
-0.251335005,0.266565005,Ac17,N14,Ac17-N14,0.0217,-3.830443018
-0.2425,0.25714,Ac5,N6,Ac5-N6,0.0271,-3.610068274
-0.259164463,0.27009533,AcD,ND,AcD-ND,0.0272,-3.604538306
-0.23379,0.24613,Ac13,N1,Ac13-N1,0.0324,-3.429596856
-0.251335005,0.266565005,Ac17,N5,Ac17-N5,0.0335,-3.39620984
-0.245512812,0.263396183,Ac7,N14,Ac7-N14,0.0341,-3.379925246
-0.256098948,0.270770461,Ac6,N15,Ac6-N15,0.0634,-2.758291418
-0.2425,0.25714,Ac5,N15,Ac5-N15,0.0713,-2.640858952
-0.2425,0.25714,Ac5,N2,Ac5-N2,0.0766,-2.569158202
-0.256098948,0.270770461,Ac6,N4,Ac6-N4,0.1145,-2.167180456
-0.251335005,0.266565005,Ac17,N6,Ac17-N6,0.139,-1.973641123
-0.246232234,0.257144439,AcC,NC,AcC-NC,0.1444,-1.935168053
-0.25982,0.27003,AcB,NB_endo,AcB-NB_endo,0.1627,-1.816154626
-0.2496,0.26546,Ac4,N7,Ac4-N7,0.2922,-1.23048791
-0.2496,0.26546,Ac4,N3,Ac4-N3,0.3328,-1.100363822
-0.251335005,0.266565005,Ac17,N2,Ac17-N2,0.4886,-0.716313459
-0.250686465,0.265496705,Ac1,N10,Ac1-N10,0.5928,-0.522982554
-0.251335005,0.266565005,Ac17,N3,Ac17-N3,0.6173,-0.482481151
-0.26799,0.26051,Ac15,N5,Ac15-N5,0.6427,-0.442077227
-0.27436,0.27826,Ac20,N11,Ac20-N11,0.673,-0.396009949
-0.27107,0.27742,Ac22,N11,Ac22-N11,0.7507,-0.286749174
-0.2496,0.26546,Ac4,N2,Ac4-N2,0.7521,-0.284885985
-0.24009,0.25374,Ac16,N1,Ac16-N1,0.769,-0.262729331
-0.250686465,0.265496705,Ac1,N12,Ac1-N12,0.7926,-0.232499684
-0.25982,0.27003,AcB,NB_exo,AcB-NB_exo,0.818,-0.200892942
-0.245512812,0.263396183,Ac7,N15,Ac7-N15,0.8803,-0.127492521
-0.27308,0.27958,Ac21,N9,Ac21-N9,1.0712,0.068779515
-0.251335005,0.266565005,Ac17,N15,Ac17-N15,1.1216,0.114756237
-0.250212643,0.269180159,Ac19,N8,Ac19-N8,1.1503,0.140022778
-0.27047,0.28359,Ac9,N6,Ac9-N6,1.232,0.20859828
-0.250686465,0.265496705,Ac1,N6,Ac1-N6,1.5673,0.449354394
-0.26799,0.26051,Ac15,N16,Ac15-N16,2.2738,0.821452441
-0.27107,0.27742,Ac22,N14,Ac22-N14,2.6537,0.975954893
-0.25384,0.24653,Ac11,N10,Ac11-N10,2.8829,1.058796732
-0.2549,0.2642,Ac18,N12,Ac18-N12,3.5844,1.276591096
-0.26799,0.26051,Ac15,N15,Ac15-N15,4.0469,1.397938801
-0.24593,0.26133,Ac10,N11,Ac10-N11,4.847,1.578359957
-0.27847,0.30005,Ac12,N6,Ac12-N6,4.8703,1.58314527
-0.27314,0.29169,Ac8,N3,Ac8-N3,4.8788,1.584899288
-0.27314,0.29169,Ac8,N13,Ac8-N13,5.1781,1.644438194
-0.27847,0.30005,Ac12,N3,Ac12-N3,5.9721,1.787090252
-0.272193768,0.283926771,Ac2,N8,Ac2-N8,6.0444,1.799123951
-0.2822,0.27861,Ac3,N7,Ac3-N7,6.7767,1.91348288
-0.272193768,0.283926771,Ac2,N13,Ac2-N13,7.1229,1.963307926
-0.27314,0.29169,Ac8,N6,Ac8-N6,7.8457,2.059959238
-0.25134,0.26385,Ac14,N13,Ac14-N13,10.0267,2.305251535
-0.258328224,0.268657967,AcA,,AcA-NA,14.79,2.693951277
