Coupling,E (HOMO)_anion_boltz,eta_anion_boltz,ln rate,ln rate_pred,ln rate_pred_sd,Set
Sunitinib,-0.22086,0.18093,-5.698794933,-6.683116803941206,1.19,CV
Ac13-N16,-0.23379,0.24613,-4.216512196,-2.7037123899123876,0.15,CV
AcE-NE,-0.25734,0.25014,-4.107429802,-0.81174425908311,0.13,CV
Ac17-N14,-0.251335005,0.266565005,-3.830443018,-0.8424394389454066,0.13,CV
Ac5-N6,-0.2425,0.25714,-3.610068274,-1.7814533693480699,0.06,CV
AcD-ND,-0.259164463,0.27009533,-3.604538306,-0.1680221722986151,0.1,CV
Ac13-N1,-0.23379,0.24613,-3.429596856,-2.7784570558687802,0.21,CV
Ac7-N14,-0.245512812,0.263396183,-3.379925246,-1.3750562966412914,0.09,CV
Ac6-N15,-0.256098948,0.270770461,-2.758291418,-0.366949372911339,0.13,CV
Ac5-N15,-0.2425,0.25714,-2.640858952,-1.8385365341394455,0.18,CV
Ac5-N2,-0.2425,0.25714,-2.569158202,-1.763580739256905,0.07,CV
Ac17-N6,-0.251335005,0.266565005,-1.973641123,-0.8819419023591312,0.16,CV
AcC-NC,-0.246232234,0.257144439,-1.935168053,-1.59722565695022,0.19,CV
AcB-NB_endo,-0.25982,0.27003,-1.816154626,-0.21617955872327715,0.07,CV
Ac4-N7,-0.2496,0.26546,-1.23048791,-1.0660260301636684,0.11,CV
Ac17-N2,-0.251335005,0.266565005,-0.716313459,-0.9319900437417624,0.12,CV
Ac1-N10,-0.250686465,0.265496705,-0.522982554,-1.0033970276616528,0.08,CV
Ac17-N3,-0.251335005,0.266565005,-0.482481151,-1.0003130427903448,0.14,CV
Ac15-N5,-0.26799,0.26051,-0.442077227,-0.08635521050231296,0.22,CV
Ac22-N11,-0.27107,0.27742,-0.286749174,0.8447978387998856,0.14,CV
Ac4-N2,-0.2496,0.26546,-0.284885985,-1.108159214331383,0.15,CV
Ac16-N1,-0.24009,0.25374,-0.262729331,-2.307068357012798,0.19,CV
Ac1-N12,-0.250686465,0.265496705,-0.232499684,-1.1285018190189329,0.18,CV
Ac7-N15,-0.245512812,0.263396183,-0.127492521,-1.4170357044613426,0.18,CV
Ac21-N9,-0.27308,0.27958,0.068779515,0.9563396336818176,0.15,CV
Ac17-N15,-0.251335005,0.266565005,0.114756237,-0.989836611221801,0.14,CV
Ac9-N6,-0.27047,0.28359,0.20859828,1.0143266052552469,0.11,CV
Ac1-N6,-0.250686465,0.265496705,0.449354394,-1.1013895465855705,0.16,CV
Ac15-N16,-0.26799,0.26051,0.821452441,-0.22675494532982107,0.39,CV
Ac22-N14,-0.27107,0.27742,0.975954893,0.6635106682860922,0.18,CV
Ac18-N12,-0.2549,0.2642,1.276591096,-0.8210704314208759,0.11,CV
Ac15-N15,-0.26799,0.26051,1.397938801,-0.5039470278048321,0.29,CV
Ac10-N11,-0.24593,0.26133,1.578359957,-1.631273334056995,0.16,CV
Ac12-N6,-0.27847,0.30005,1.58314527,2.005575018832034,0.15,CV
Ac8-N13,-0.27314,0.29169,1.644438194,1.4307641488529597,0.17,CV
Ac12-N3,-0.27847,0.30005,1.787090252,2.0811747248862913,0.16,CV
Ac2-N8,-0.272193768,0.283926771,1.799123951,0.9921358000756415,0.14,CV
Ac3-N7,-0.2822,0.27861,1.91348288,1.373984300950633,0.33,CV
Ac8-N6,-0.27314,0.29169,2.059959238,1.2869928951407215,0.14,CV
Ac14-N13,-0.25134,0.26385,2.305251535,-1.160150547233202,0.13,CV
AcA-NA,-0.258328224,0.268657967,2.693951277,-0.5787501416709122,0.14,CV
Ac9-N9,-0.27047,0.28359,-3.998125704,0.9114750005590045,0.15,Test
Ac17-N5,-0.251335005,0.266565005,-3.39620984,-0.9441827760826277,0.15,Test
Ac6-N4,-0.256098948,0.270770461,-2.167180456,-0.4834271882861523,0.14,Test
Ac4-N3,-0.2496,0.26546,-1.100363822,-1.0960642513502108,0.15,Test
Ac20-N11,-0.27436,0.27826,-0.396009949,0.9605783852247123,0.21,Test
AcB-NB_exo,-0.25982,0.27003,-0.200892942,-0.2737863810106909,0.14,Test
Ac19-N8,-0.250212643,0.269180159,0.140022778,-0.9181380603494689,0.17,Test
Ac11-N10,-0.25384,0.24653,1.058796732,-1.5322807159866405,0.29,Test
Ac8-N3,-0.27314,0.29169,1.584899288,1.3840756576820248,0.16,Test
Ac2-N13,-0.272193768,0.283926771,1.963307926,1.0339645651155474,0.16,Test
