Coupling,E (HOMO)_anion_boltz,ln rate,ln rate_pred,ln rate_pred_sd,Set
Sunitinib,-0.22086,-5.698794933,-4.070978593457441,0.35,CV
Ac13-N16,-0.23379,-4.216512196,-2.857362987523552,0.2,CV
AcE-NE,-0.25734,-4.107429802,-0.45477391192653566,0.09,CV
Ac17-N14,-0.251335005,-3.830443018,-1.0523343621009906,0.14,CV
Ac5-N6,-0.2425,-3.610068274,-2.038577092620502,0.07,CV
AcD-ND,-0.259164463,-3.604538306,-0.1813715946901629,0.1,CV
Ac13-N1,-0.23379,-3.429596856,-2.9749744560209637,0.14,CV
Ac7-N14,-0.245512812,-3.379925246,-1.765243160604172,0.09,CV
Ac6-N15,-0.256098948,-2.758291418,-0.5444140633349961,0.14,CV
Ac5-N15,-0.2425,-2.640858952,-1.982733035369772,0.22,CV
Ac5-N2,-0.2425,-2.569158202,-1.9823263455860807,0.1,CV
Ac17-N6,-0.251335005,-1.973641123,-1.1044058636981626,0.16,CV
AcC-NC,-0.246232234,-1.935168053,-1.6393138254765212,0.19,CV
AcB-NB_endo,-0.25982,-1.816154626,-0.21056032112382858,0.07,CV
Ac4-N7,-0.2496,-1.23048791,-1.2781094835304074,0.08,CV
Ac17-N2,-0.251335005,-0.716313459,-1.1209506890177656,0.13,CV
Ac1-N10,-0.250686465,-0.522982554,-1.2089155353103203,0.07,CV
Ac17-N3,-0.251335005,-0.482481151,-1.1628920056832472,0.13,CV
Ac15-N5,-0.26799,-0.442077227,0.6134069231189838,0.1,CV
Ac22-N11,-0.27107,-0.286749174,0.9978588855114063,0.1,CV
Ac4-N2,-0.2496,-0.284885985,-1.3426127896753008,0.12,CV
Ac16-N1,-0.24009,-0.262729331,-2.4228415956407856,0.22,CV
Ac1-N12,-0.250686465,-0.232499684,-1.3216699348169938,0.16,CV
Ac7-N15,-0.245512812,-0.127492521,-1.7195004787323112,0.15,CV
Ac21-N9,-0.27308,0.068779515,1.111637977354011,0.12,CV
Ac17-N15,-0.251335005,0.114756237,-1.1980581557850576,0.13,CV
Ac9-N6,-0.27047,0.20859828,0.9284957901859336,0.11,CV
Ac1-N6,-0.250686465,0.449354394,-1.26538543131561,0.18,CV
Ac15-N16,-0.26799,0.821452441,0.5249108899667896,0.17,CV
Ac22-N14,-0.27107,0.975954893,0.8652114619072713,0.16,CV
Ac18-N12,-0.2549,1.276591096,-0.781712679367987,0.12,CV
Ac15-N15,-0.26799,1.397938801,0.43170600487390515,0.13,CV
Ac10-N11,-0.24593,1.578359957,-1.8448428674601058,0.13,CV
Ac12-N6,-0.27847,1.58314527,1.653802244244504,0.14,CV
Ac8-N13,-0.27314,1.644438194,1.11459555703224,0.13,CV
Ac12-N3,-0.27847,1.787090252,1.5704665086972642,0.14,CV
Ac2-N8,-0.272193768,1.799123951,0.9482654663324317,0.16,CV
Ac3-N7,-0.2822,1.91348288,2.0499490603003796,0.19,CV
Ac8-N6,-0.27314,2.059959238,1.077686818918579,0.13,CV
Ac14-N13,-0.25134,2.305251535,-1.247096160584555,0.12,CV
AcA-NA,-0.258328224,2.693951277,-0.5528682746141218,0.12,CV
Ac9-N9,-0.27047,-3.998125704,0.8360734358580882,0.15,Test
Ac17-N5,-0.251335005,-3.39620984,-1.140362680493589,0.14,Test
Ac6-N4,-0.256098948,-2.167180456,-0.6482993691919268,0.14,Test
Ac4-N3,-0.2496,-1.100363822,-1.3195697586271742,0.15,Test
Ac20-N11,-0.27436,-0.396009949,1.2378679747439378,0.16,Test
AcB-NB_exo,-0.25982,-0.200892942,-0.26395531456203786,0.13,Test
Ac19-N8,-0.250212643,0.140022778,-1.2562904240033559,0.15,Test
Ac11-N10,-0.25384,1.058796732,-0.8816240401500512,0.14,Test
Ac8-N3,-0.27314,1.584899288,1.1118552915972193,0.16,Test
Ac2-N13,-0.272193768,1.963307926,1.014119854548625,0.15,Test
