No.,Ligand,ddG,ddG_rem,vbur_Boltz,vbur_LEC,vbur_Min,vbur_Max,B1_Boltz,B1_LEC,B1_min,B1_max,B5_Boltz,B5_LEC,B5_Min,B5_Max,L_Boltz,L_LEC,L_Min,L_Max,HOMO_Boltz,HOMO_LEC,HOMO_Min,HOMO_Max,LUMO_Boltz,LUMO_LEC,LUMO_Min,LUMO_Max,Vmin_Boltz,Vmin_LEC,Vmin_Min,Vmin_Max,P_NMR_Boltz,P_NMR_LEC,P_NMR_Min,P_NMR_Max,P_NBO_Boltz,P_NBO_LEC,P_NBO_Min,P_NBO_Max,P_LP_Boltz,P_LP_LEC,P_P-C_sigma*_min_Boltz,P_P-C_sigma*_min_LEC,P_P-C_sigma*_avg_Boltz,P_P-C_sigma*_avg_LEC
1,PoTol3,2.15,2.15,41.1,41.1,33.3,41.1,4.47,4.47,4.32,4.47,6.35,6.35,6.35,6.65,6.99,6.98,6.98,7.88,-0.258,-0.258,-0.258,-0.25,0,0,-0.006,0,-27.6,-27.6,-32.9,-27.6,343,343,306,343,0.819,0.819,0.819,0.836,-0.398,-0.398,0.261,0.261,0.261,0.261
2,PhSPhos,2.58,2.58,51.8,51.8,30.6,51.8,4.32,4.32,4.32,4.61,7.16,7.16,6.83,7.16,7.29,7.29,7.29,9.9,-0.253,-0.253,-0.253,-0.213,0.004,0.004,-0.019,0.004,-35.3,-35.3,-35.3,-35.1,325,325,302,325,0.841,0.841,0.837,0.841,-0.398,-0.398,0.262,0.262,0.263,0.263
3,SPhos,1.77,1.77,55,55.9,32.9,60.3,4.52,4.38,4.33,4.93,7.24,7.3,6.55,7.3,7.72,7.72,7.7,10.3,-0.251,-0.251,-0.256,-0.247,0.014,0.012,0.011,0.017,-43.3,-43.4,-44.7,-41.2,325,325,284,355,0.829,0.831,0.764,0.831,-0.396,-0.394,0.241,0.242,0.251,0.252
4,PPh3,1.84,1.84,28.8,28.8,28.8,28.8,4.27,4.27,4.27,4.27,6.34,6.34,6.34,6.34,7.12,7.12,7.12,7.12,-0.265,-0.265,-0.265,-0.225,0,0,-0.024,0,-29.9,-29.9,-29.9,-29.9,320,320,320,320,0.829,0.829,0.829,0.829,-0.406,-0.406,0.254,0.254,0.254,0.254
5,PEt3,,,27.4,27.6,25.6,28,3.25,3.39,2.98,3.39,4.81,4.8,4.77,4.87,5.93,5.74,5.74,6.73,-0.269,-0.271,-0.271,-0.267,0.061,0.063,0.058,0.063,-38.1,-37.6,-38.9,-37.5,341,338,338,345,0.764,0.762,0.758,0.768,-0.421,-0.425,0.234,0.235,0.235,0.235
6,PMe3,,,22.3,22.3,22.3,22.3,2.96,2.96,2.96,2.96,3.47,3.47,3.47,3.47,5.74,5.74,5.74,5.74,-0.274,-0.274,-0.274,-0.274,0.065,0.065,0.065,0.065,-36.6,-36.6,-36.6,-36.6,384,384,384,384,0.764,0.764,0.764,0.764,-0.424,-0.424,0.243,0.243,0.243,0.243
7,PtBu2neopentyl,-0.76,,40.8,40.8,34.7,40.8,3.99,3.99,3.93,3.99,6.18,6.18,5.56,6.18,6.64,6.64,6.64,7.88,-0.259,-0.259,-0.259,-0.219,0.052,0.052,0.035,0.052,-39.1,-39.1,-43.2,-39.1,301,301,266,301,0.788,0.788,0.788,0.794,-0.4,-0.4,0.212,0.212,0.221,0.221
8,PtBu3,-1.09,-1.09,36.6,36.6,36.6,36.6,4.04,4.04,4.04,4.04,4.87,4.87,4.87,4.87,6.62,6.62,6.62,6.62,-0.255,-0.255,-0.255,-0.255,0.059,0.059,0.059,0.059,-41.9,-41.9,-41.9,-41.9,256,256,256,256,0.785,0.785,0.785,0.785,-0.387,-0.387,0.207,0.207,0.207,0.207
9,PAd3,-2.16,-2.16,37.2,37.2,37.2,37.2,5.21,5.21,5.21,5.21,6.88,6.88,6.88,6.88,7.34,7.34,7.34,7.34,-0.247,-0.247,-0.247,-0.247,0.038,0.038,0.038,0.038,-44.6,-44.6,-44.6,-44.6,253,253,253,253,0.839,0.839,0.839,0.839,-0.369,-0.369,0.22,0.22,0.22,0.22
10,CF3PhSPhos,3.21,3.21,51.9,51.9,29.6,51.9,4.59,4.59,4.59,5.24,7.99,7.99,7.99,8.17,7.96,7.96,7.96,9.44,-0.271,-0.271,-0.271,-0.228,-0.025,-0.025,-0.047,-0.025,-25,-25,-25,-24.1,324,324,308,324,0.852,0.852,0.847,0.852,-0.417,-0.417,0.243,0.243,0.244,0.244
